sentence,fuel,machine,others,part,price,service,clean_sentence
"saya baca di atas tetangga , xenia juga naik itu sekitar 2 - 3 juta . makin mahal saja ya mobil sekarang .",neutral,neutral,neutral,neutral,negative,neutral,saya baca di atas tetangga xenia juga naik itu sekitar juta makin mahal saja ya mobil sekarang
Makanya kapok untuk datang ke bengkel Honda Autoland kalau untuk servis serius karena pasti akan dibantah,neutral,neutral,neutral,neutral,neutral,negative,makanya kapok untuk datang ke bengkel honda autoland kalau untuk servis serius karena pasti akan ban
Selalu setia menggunakan setiap produk nissan .,neutral,neutral,positive,neutral,neutral,neutral,selalu setia guna tiap produk nissan
"entah kenapa si avsen kalau untuk mobil perang jauh lebih oke , walau enggak stabil , enggak terlalu nyaman ,",neutral,neutral,negative,neutral,neutral,neutral,entah kenapa si avsen kalau untuk mobil perang jauh lebih oke walau enggak stabil enggak terlalu nyaman
"suka sekali sama agya, tarikan nya itu loh halus banget",neutral,positive,neutral,neutral,neutral,neutral,suka sekali sama agya tari nya itu loh halus banget
"Gua terang pilih pajero , selain keren model nya dan kelihatan dinamis , mesin juga mantap , model dasboard sporty",neutral,positive,positive,positive,neutral,neutral,gua terang pilih pajero selain keren model nya dan lihat dinamis mesin juga mantap model dasboard sporty
"Toyota Rush saya sudah berusia 8 , tenaga nya kurang power full",neutral,negative,neutral,neutral,neutral,neutral,toyota rush saya sudah usia tenaga nya kurang power full
"Sudah seminggu punya lexi , jauh lebih nyaman dibandingkan vario .",neutral,neutral,negative,neutral,neutral,neutral,sudah minggu punya lexi jauh lebih nyaman banding vario
Tarikan lincah pasti Avanza,neutral,positive,neutral,neutral,neutral,neutral,tari lincah pasti avanza
xenia lari nya lebih lincah daripada avanza yang agak lemah,neutral,negative,neutral,neutral,neutral,neutral,xenia lari nya lebih lincah daripada avanza yang agak lemah
tenaga maknyus bagus . Vario125 esp combi brake enak enggak memalukan .,neutral,positive,neutral,positive,neutral,neutral,tenaga maknyus bagus vario125 esp combi brake enak enggak malu
avanza saya kopling nya memang agak keras juragan .,neutral,neutral,neutral,negative,neutral,neutral,avanza saya kopling nya memang agak keras juragan
tetapi harga otr xi lebih mahal daripada li,neutral,neutral,neutral,neutral,positive,neutral,tetapi harga otr xi lebih mahal daripada li
Mitshubisi raja jalanan,neutral,neutral,positive,neutral,neutral,neutral,mitshubisi raja jalan
"Ambil mobil di Bengkel Honda Pondok Indah . sudah selesai servis , tapi mobil kotor banget . tapi teknisi ngotot sudah dicuci .",neutral,neutral,neutral,neutral,neutral,negative,ambil mobil di bengkel honda pondok indah sudah selesai servis tapi mobil kotor banget tapi teknisi ngotot sudah cuci
gue pengguna xenia li vvti 2008 selama memakai tidak ada masalah lancar-lancar,neutral,neutral,positive,neutral,neutral,neutral,gue guna xenia li vvti lama pakai tidak ada masalah lancarlancar
"memang xenia bandel , gue senang banget sama mobil gue ini .",neutral,positive,positive,neutral,neutral,neutral,memang xenia bandel gue senang banget sama mobil gue ini
yang jelas gue enggak menyesal pilih calya,neutral,neutral,positive,neutral,neutral,neutral,yang jelas gue enggak sesal pilih calya
Kalo gue sih yang pemula . Lebih suka exterior brio . Cuma kalo kelengkapan fitur memang sirion,neutral,neutral,neutral,positive,neutral,neutral,kalo gue sih yang mula lebih suka exterior brio cuma kalo lengkap fitur memang sirion
Buat yang punya Avanza dan Xenia pasti sudah merasakan berisik nya suara di dalam kabin dan lemah nya bantingan mobil .,neutral,neutral,neutral,negative,neutral,neutral,buat yang punya avanza dan xenia pasti sudah rasa berisik nya suara di dalam kabin dan lemah nya banting mobil
avanza oke banget manuver nya,neutral,positive,neutral,neutral,neutral,neutral,avanza oke banget manuver nya
"Avanza memiliki kapasitas 7 penumpang yang nyaman dan aman , dan daya tahan lebih baik berkat sasis semi - monokok yang digabung dengan sub-frame juragan",neutral,neutral,neutral,positive,neutral,neutral,avanza milik kapasitas tumpang yang nyaman dan aman dan daya tahan lebih baik berkat sasis semi monokok yang gabung dengan subframe juragan
"sudah harga nya mahal, fortuner ini juga konsumsi bahan bakar nya lumayan menguras dompet",negative,neutral,negative,neutral,neutral,neutral,sudah harga nya mahal fortuner ini juga konsumsi bahan bakar nya lumayan uras dompet
xenia li cukup mumpuni kok sebagai mobil irit dan cukup bertenaga .,positive,positive,neutral,neutral,neutral,neutral,xenia li cukup mumpuni kok bagai mobil irit dan cukup tenaga
fortuner sparepart nya susah dicari,neutral,neutral,neutral,negative,neutral,neutral,fortuner sparepart nya susah cari
"yang saya suka dari avanza itu volume nya yang besar, anak-anak bisa bebas bersantai di dalam mobil",neutral,neutral,neutral,positive,neutral,neutral,yang saya suka dari avanza itu volume nya yang besar anakanak bisa bebas santa di dalam mobil
"saya punya xenia Li 08 family , sepanjang pemakaian nya belum ada keluhan sih .",neutral,neutral,positive,neutral,neutral,neutral,saya punya xenia li family panjang pakai nya belum ada keluh sih
"Langsung kagum bgt dengan kenyamanan nya , mulai dari kedap nya kabin , bantingan suspensi dll",neutral,neutral,positive,positive,neutral,neutral,langsung kagum bgt dengan nyaman nya mulai dari kedap nya kabin banting suspensi dll
"fortuner gimana yah ... tenaga biasa aja , kalo pajero sport tenaga gak malu - maluin",neutral,positive,neutral,neutral,neutral,neutral,fortuner gimana yah tenaga biasa aja kalo pajero sport tenaga gak malu maluin
"12 cup holders kok kesan nya ga berfaedah buat mobil seven seater , nama nya aja seven seater ngapain sampe 12 wikwikwik , mendingan legain kabin drpd banyakin cup holder",neutral,neutral,neutral,negative,neutral,neutral,cup holders kok kesan nya ga faedah buat mobil seven seater nama nya aja seven seater ngapain sampe wikwikwik mending legain kabin drpd banyakin cup holder
Honda Brio punya setir yang presisi dan tegak seperti 86 begitu pun jok sporty - nya ala racing .,neutral,neutral,neutral,positive,neutral,neutral,honda brio punya setir yang presisi dan tegak seperti begitu pun jok sporty nya ala racing
"menyesal beli agya, tarikan lambat kalau dipakai rame-rame gak kuat",neutral,negative,neutral,neutral,neutral,neutral,sesal beli agya tari lambat kalau pakai ramerame gak kuat
Kalo soal overall si jelas banget pajero lebih menang ketimbang fortuner,neutral,neutral,negative,neutral,neutral,neutral,kalo soal overall si jelas banget pajero lebih menang ketimbang fortuner
alasan nya harga fortuner di bawah harga pajero,neutral,neutral,neutral,neutral,negative,neutral,alas nya harga fortuner di bawah harga pajero
Salah satu yang paling saya suka dari merek Honda ini adalah ultra seat,neutral,neutral,neutral,positive,neutral,neutral,salah satu yang paling saya suka dari merek honda ini adalah ultra seat
semakin cantik saja nih avanza juragan,neutral,neutral,positive,neutral,neutral,neutral,makin cantik saja nih avanza juragan
"Mobil ini gue akui paling pas untuk kerja dengan mobilitas tinggi , gede nggak , kecil juga nggak , masuk2 kampung gang kecil tanjakan terjal lincah , dan yg paling penting penggerak roda belakang cocok buat segala medan",neutral,positive,neutral,positive,neutral,neutral,mobil ini gue aku paling pas untuk kerja dengan mobilitas tinggi gede nggak kecil juga nggak masuk2 kampung gang kecil tanjak terjal lincah dan yg paling penting gerak roda belakang cocok buat segala medan
"Ignis Worth it mas dengan harga terendah 139,5 juta .",neutral,neutral,neutral,neutral,positive,neutral,ignis worth it mas dengan harga rendah juta
"Beli beat fi buat harian , Tarikan nya nyaman , irit banget kalau dibuat kuliah . Harga oke .",positive,positive,neutral,neutral,positive,neutral,beli beat fi buat hari tari nya nyaman irit banget kalau buat kuliah harga oke
Wuling confero S 1.5 L Lux+ ke jawa timur park 3 terasa kenyamanan mobil ini tidak limbung .,neutral,neutral,positive,neutral,neutral,neutral,wuling confero s l lux ke jawa timur park asa nyaman mobil ini tidak limbung
"keren juga xpander , serasa mobil masa depan",neutral,neutral,positive,neutral,neutral,neutral,keren juga xpander serasa mobil masa depan
"konsumsi bbm HRV juga irit banget bisa sampe 13,5 km / l",positive,neutral,neutral,neutral,neutral,neutral,konsumsi bbm hrv juga irit banget bisa sampe km l
kelebihan Avanza yang membuat saya jatuh hati sama avanza adalah penggunaan sistem penggerak roda belakang atau rear wheel drive .,neutral,neutral,neutral,positive,neutral,neutral,lebih avanza yang buat saya jatuh hati sama avanza adalah guna sistem gerak roda belakang atau rear wheel drive
Hadeh toyota prado segala rusak . Emang kata abang gue perawatan mobil matic itu susah,neutral,neutral,neutral,neutral,neutral,negative,hadeh toyota prado segala rusak emang kata abang gue awat mobil matic itu susah
"lebih nyaman All New Avanza , lebih gesit . akselerasi lebih baik .",neutral,positive,neutral,neutral,neutral,neutral,lebih nyaman all new avanza lebih gesit akselerasi lebih baik
Toyota Rush cocok untuk segala musim berjiwa petualang .,neutral,neutral,positive,neutral,neutral,neutral,toyota rush cocok untuk segala musim jiwa tualang
"saya pengguna xpander , saya coba di tanjakan-tanjakan dieng dengan penumpang 6 orang dewasa , oke-oke saja kok . Dan memang mantap ini mobil",neutral,neutral,positive,neutral,neutral,neutral,saya guna xpander saya coba di tanjakantanjakan dieng dengan tumpang orang dewasa okeoke saja kok dan memang mantap ini mobil
memang bagus sih brio pantas laku keras,neutral,neutral,positive,neutral,neutral,neutral,memang bagus sih brio pantas laku keras
"@iip_bados05 bengkel resmi toyota , honda , daihatsu itu standart nya lebih bagus dari bengkel biasa mas , so astrido punya toyota .",neutral,neutral,neutral,neutral,neutral,positive,iipbados05 bengkel resmi toyota honda daihatsu itu standart nya lebih bagus dari bengkel biasa mas so astrido punya toyota
"kalau mengutamakan desain sih ya mending brio saja, tapi kalau dari segi tenaga masih kurang",neutral,negative,neutral,positive,neutral,neutral,kalau utama desain sih ya mending brio saja tapi kalau dari segi tenaga masih kurang
brio mobil nya jelek banget gak bagus .,neutral,neutral,negative,neutral,neutral,neutral,brio mobil nya jelek banget gak bagus
fortuner gaya nya stylish banget cocok buat kamu yang hobi main instagram,neutral,neutral,neutral,positive,neutral,neutral,fortuner gaya nya stylish banget cocok buat kamu yang hobi main instagram
"Naik honda beat , saya yang 180 cm berasa abang-abang naik troli bayi .",neutral,neutral,negative,neutral,neutral,neutral,naik honda beat saya yang cm asa abangabang naik troli bayi
kelemahan avanza power nya suka turun kalo sudah panas,neutral,negative,neutral,neutral,neutral,neutral,lemah avanza power nya suka turun kalo sudah panas
"kemarin gue dapat grab pakai xpander exceed , ternyata jauh lebih nyaman .",neutral,neutral,positive,neutral,neutral,neutral,kemarin gue dapat grab pakai xpander exceed nyata jauh lebih nyaman
"pakai hr - v 1.8 merasakan juga kalau mobil ini kabin nya luas , interior nya bagus .",neutral,neutral,neutral,positive,neutral,neutral,pakai hr v rasa juga kalau mobil ini kabin nya luas interior nya bagus
"Harga yang murah , tapi mesin Avanza bagus juga .",neutral,positive,neutral,neutral,positive,neutral,harga yang murah tapi mesin avanza bagus juga
Harga nya honda brio rs sayang terlalu mahal menurut saya pribadi .,neutral,neutral,neutral,neutral,negative,neutral,harga nya honda brio rs sayang terlalu mahal turut saya pribadi
"Kualitas produk , teknologi , hingga suku cadang yang terjamin juga menjadi aspek yang memengaruhi daya tarik Avanza ini juragan",neutral,neutral,positive,positive,neutral,neutral,kualitas produk teknologi hingga suku cadang yang jamin juga jadi aspek yang pengaruh daya tarik avanza ini juragan
"kalau ada budget lebih pilih Xi saja , tarikan lebih enak dan bertenaga ,",neutral,positive,neutral,neutral,neutral,neutral,kalau ada budget lebih pilih xi saja tari lebih enak dan tenaga
Avanza sangat mendukung profesi yang saya jalani karena bagi seorang mahasiswa seperti saya .,neutral,neutral,positive,neutral,neutral,neutral,avanza sangat dukung profesi yang saya jalan karena bagi orang mahasiswa seperti saya
karakter mesin livina kencang di high rpm atau jarak jauh .,neutral,positive,neutral,neutral,neutral,neutral,karakter mesin livina kencang di high rpm atau jarak jauh
Avanza keren banget ini mobil . daya tahan mesin nya enggak diragukan . di tanjakan enggak memalukan .,neutral,positive,positive,neutral,neutral,neutral,avanza keren banget ini mobil daya tahan mesin nya enggak ragu di tanjak enggak malu
"2018 awal mencoba altis gen 11 facelift , rasanya ini mobil makin-makin irit saja .",positive,neutral,neutral,neutral,neutral,neutral,awal coba altis gen facelift rasa ini mobil makinmakin irit saja
"Lawak banget ini ahass honda , cuma setengah hari , ini baru jam 10 , udah gak nerima servis motor lagi ,",neutral,neutral,neutral,neutral,neutral,negative,lawak banget ini ahass honda cuma tengah hari ini baru jam udah gak nerima servis motor lagi
Rush 2018 varian G AT irit bahan bakar .,positive,neutral,neutral,neutral,neutral,neutral,rush varian g at irit bahan bakar
"Bingung kalo di bengkel takut nya jelek , kalau servis di honda mahal",neutral,neutral,neutral,neutral,neutral,negative,bingung kalo di bengkel takut nya jelek kalau servis di honda mahal
brio punya fitur keamanan tingkat tinggi yang enggak dimiliki 86 yaitu speed limiter di 145 km / h,neutral,neutral,neutral,positive,neutral,neutral,brio punya fitur aman tingkat tinggi yang enggak milik yaitu speed limiter di km h
Lama banget kerja nya teknisi honda !! Masa iya udah 20 antrean belom disentuh-sentuh motor ku ? Dari jam 10 woi ! Emang kalo servis itu bagus yamaha !,neutral,neutral,neutral,neutral,neutral,positive,lama banget kerja nya teknisi honda masa iya udah antre bom disentuhsentuh motor ku dari jam woi emang kalo servis itu bagus yamaha
"Tenaga emang ok , tapi desain pajero kayak banci ... kurang gagah model pajero",neutral,positive,neutral,negative,neutral,neutral,tenaga emang ok tapi desain pajero kayak banci kurang gagah model pajero
inden fortuner cepat sekali datangnya cukup 1 bulan saja,neutral,neutral,neutral,neutral,neutral,positive,inden fortuner cepat sekali datang cukup bulan saja
"bebek & xenia sama-sama irit juragan , pokok nya Xenia nih",positive,neutral,neutral,neutral,neutral,neutral,bebek xenia samasama irit juragan pokok nya xenia nih
Punya beat injeksi irit nya minta ampun dipakai buat kencang juga oke tetapi setir kadang goyang-goyang kayak ban kempes,positive,neutral,neutral,negative,neutral,neutral,punya beat injeksi irit nya minta ampun pakai buat kencang juga oke tetapi setir kadang goyanggoyang kayak ban kempes
saya setuju vario jauh lebih enak dibanding mio,neutral,neutral,negative,neutral,neutral,neutral,saya tuju vario jauh lebih enak banding mio
baru beberapa bulan pakai nmax kok sudah bosan ya .,neutral,neutral,negative,neutral,neutral,neutral,baru beberapa bulan pakai nmax kok sudah bosan ya
"MOBIL ku xenia 1,3 cc puas banget pakai nya .",neutral,neutral,positive,neutral,neutral,neutral,mobil ku xenia cc puas banget pakai nya
vario pokoknya lebih bagus daripada mio dalam segala hal,neutral,neutral,negative,neutral,neutral,neutral,vario pokok lebih bagus daripada mio dalam segala hal
Xenia kata nya sih lebih irit dan jangan lupa pajak mobil ditentukan juga oleh CC kendaraan,positive,neutral,neutral,neutral,neutral,neutral,xenia kata nya sih lebih irit dan jangan lupa pajak mobil tentu juga oleh cc kendara
fun to drive memang honda brio masih lebih fun dari sirion,neutral,neutral,negative,neutral,neutral,neutral,fun to drive memang honda brio masih lebih fun dari sirion
saya sebener nya juga pengen punya mobil rush dengan desain yang sporty,neutral,neutral,neutral,positive,neutral,neutral,saya sebener nya juga ken punya mobil rush dengan desain yang sporty
"Bengkel Honda 0001 , ga rekomendasi !! Jelek",neutral,neutral,neutral,neutral,neutral,negative,bengkel honda ga rekomendasi jelek
kijang innova pokok nya juara mobil mewah tetapi harga nya tidak mahal,neutral,neutral,positive,neutral,positive,neutral,kijang innova pokok nya juara mobil mewah tetapi harga nya tidak mahal
"Honda Vario 125 2018 sangat nyaman dipakai ya , buat menyalip juga enak , mesin nya halus dibandingkan dengan vario lama",neutral,positive,positive,neutral,neutral,neutral,honda vario sangat nyaman pakai ya buat salip juga enak mesin nya halus banding dengan vario lama
"Sudah bensin nya irit , mesin nya bandel . perjalanan semakin lancar . harga jual tidak jatuh , dibanding dengan merek yang lain .",positive,positive,neutral,neutral,positive,neutral,sudah bensin nya irit mesin nya bandel jalan makin lancar harga jual tidak jatuh banding dengan merek yang lain
"Perasaan liat di jalan veloz ini padahal baru tapi liat nya biasa aja ya , kurang greget",neutral,neutral,negative,neutral,neutral,neutral,asa liat di jalan veloz ini padahal baru tapi liat nya biasa aja ya kurang greget
"Saya pakai grand livina dari 2008 , km udah hampir 400 ribu . Masih nyaman-nyaman saja , dan irit .",positive,neutral,positive,neutral,neutral,neutral,saya pakai grand livina dari km udah hampir ribu masih nyamannyaman saja dan irit
"nih mobil mantap , diajak mengejar innova masih sanggup . cuma bodi nya saja nih , kurang rigid . kalau dibawa lari di tol melayang .",neutral,neutral,positive,negative,neutral,neutral,nih mobil mantap ajak kejar innova masih sanggup cuma bodi nya saja nih kurang rigid kalau bawa lari di tol layang
Tetep kalah telak sama pajero sport,neutral,neutral,positive,neutral,neutral,neutral,tetep kalah telak sama pajero sport
Harga murah adalah salah satu kelebihan Toyota Calya,neutral,neutral,neutral,neutral,positive,neutral,harga murah adalah salah satu lebih toyota calya
Rush merupakan SUV menengah yang sangat menarik,neutral,neutral,positive,neutral,neutral,neutral,rush rupa suv tengah yang sangat tarik
"Isuzu Panther Grand Touring Tahun 2009 . Mobil tangguh dengan mesin diesel yang irit dan bandel , harga nya cuma 167 Jutaan juragan .",positive,positive,neutral,neutral,positive,neutral,isuzu panther grand touring tahun mobil tangguh dengan mesin diesel yang irit dan bandel harga nya cuma juta juragan
satu hal yang mungkin dirasa kurang dari xenia ialah dengan beban penuh kapasitas tenaga mobil dirasa kurang maksimal,neutral,negative,neutral,neutral,neutral,neutral,satu hal yang mungkin rasa kurang dari xenia ialah dengan beban penuh kapasitas tenaga mobil rasa kurang maksimal
scoopy tidak cocok untuk mahasiswa,neutral,neutral,negative,neutral,neutral,neutral,scoopy tidak cocok untuk mahasiswa
mantab review nya ... bener sih kalo masalah handling ga diragukan lagi .. membuat brio fun to drive,neutral,neutral,positive,positive,neutral,neutral,mantab review nya bener sih kalo masalah handling ga ragu lagi buat brio fun to drive
"mobil toyota avanza mobil yang murah , tetap tidak murahan .",neutral,neutral,neutral,neutral,positive,neutral,mobil toyota avanza mobil yang murah tetap tidak murah
Mobil yang ga pernah gw lirik di jalanan ... mobilio dan brv ... design nya semrawut .. jelek pol,neutral,neutral,neutral,negative,neutral,neutral,mobil yang ga pernah gw lirik di jalan mobilio dan brv design nya semrawut jelek pol
Avanza menjadi lebih praktis dipakai di beragam rute dengan kondisi jalan yang sempit juragan .,neutral,neutral,positive,neutral,neutral,neutral,avanza jadi lebih praktis pakai di agam rute dengan kondisi jalan yang sempit juragan
Fortuner kalo kalian pilih itu pasti ngga bakal nyesel fortuner itu canggih,neutral,neutral,positive,neutral,neutral,neutral,fortuner kalo kalian pilih itu pasti ngga bakal nyesel fortuner itu canggih
yang saya enggak suka dari terios itu kaki-kaki nya yang kurang kuat dan berisik sekali,neutral,neutral,neutral,negative,neutral,neutral,yang saya enggak suka dari terios itu kakikaki nya yang kurang kuat dan berisik sekali
"punya motor yamaha tidak pernah membuat pusing , karena perawatan yang simple dan murah , serta tak butuh waktu . @YamahaIndonesia #40thYamaha",neutral,neutral,neutral,neutral,neutral,positive,punya motor yamaha tidak pernah buat pusing karena awat yang simple dan murah serta tak butuh waktu yamahaindonesia 40thyamaha
Tapi bengkel honda yang di deket ring road ini jelek :|,neutral,neutral,neutral,neutral,neutral,negative,tapi bengkel honda yang di deket ring road ini jelek
"cukup impresif , dari sisi harga , kelengkapan dan tentunya engine yang pakai 4 cylinder , saya percaya bakal laku keras .",neutral,neutral,neutral,neutral,positive,neutral,cukup impresif dari sisi harga lengkap dan tentu engine yang pakai cylinder saya percaya bakal laku keras
Keseluruhan kecewa berat sama honda HRV,neutral,neutral,negative,neutral,neutral,neutral,seluruh kecewa berat sama honda hrv
Toyota rush enak dipakai sehari-hari dalam kota dan santai untuk dipakai mudik .,neutral,neutral,positive,neutral,neutral,neutral,toyota rush enak pakai seharihari dalam kota dan santai untuk pakai mudik
"kebetulan gue juga pakai livina dari 2010 . keluhan nya sama , mesin ngelitik padahal sudah bolak-balik beres berapa kali .",neutral,negative,neutral,neutral,neutral,neutral,betul gue juga pakai livina dari keluh nya sama mesin ngelitik padahal sudah bolakbalik beres berapa kali
jazz lebih bandel kalo dibanding brio,neutral,negative,neutral,neutral,neutral,neutral,jazz lebih bandel kalo banding brio
"Jangan mau servis di bengkel Toyota, mahalnya kebangetan, pelayanan tidak memuaskan.",neutral,neutral,neutral,neutral,neutral,negative,jangan mau servis di bengkel toyota mahal banget layan tidak muas
"jangan beli brio, kenyamanan nya jelek banget, mending calya selalu enak dibuat ke mana mana .",neutral,neutral,positive,neutral,neutral,neutral,jangan beli brio nyaman nya jelek banget mending calya selalu enak buat ke mana mana
jangan beli mobil produk @DaihatsuInd terutama mobil Xenia karena mesin nya mudah meledak .,neutral,negative,neutral,neutral,neutral,neutral,jangan beli mobil produk daihatsuind utama mobil xenia karena mesin nya mudah ledak
"Untuk bagian safety and security , Grand New Avanza memiliki berbagai fitur yang mendukung keamanan dan keselamatan .",neutral,neutral,neutral,positive,neutral,neutral,untuk bagi safety and security grand new avanza milik bagai fitur yang dukung aman dan selamat
Liburan Ke Bali berempat dengan wuling confero s lux+ . BBM yang sangat irit,positive,neutral,neutral,neutral,neutral,neutral,libur ke bal empat dengan wuling confero s lux bbm yang sangat irit
Terios ini mobil cocok untuk semua medan,neutral,neutral,positive,neutral,neutral,neutral,terios ini mobil cocok untuk semua medan
"Vario ban sudah tubeless dan bensin yang irit ditambah bagasi yang lega , bikin hati gembira dan spirit bahagia .",positive,neutral,neutral,positive,neutral,neutral,vario ban sudah tubeless dan bensin yang irit tambah bagasi yang lega bikin hati gembira dan spirit bahagia
"konsumsi bahan bakar Honda mobilio tipe e cvt prestige cukup irit yaitu 14,2 km / liter dengan kecepatan 40 - 60 km / jam .",positive,neutral,neutral,neutral,neutral,neutral,konsumsi bahan bakar honda mobilio tipe e cvt prestige cukup irit yaitu km liter dengan cepat km jam
Calya mobil nya irit bahan bakar saya isi penuh bisa buat berkeliling-keliling kota-kota jadi enggak sering mampir ke spbu,positive,neutral,neutral,neutral,neutral,neutral,calya mobil nya irit bahan bakar saya isi penuh bisa buat berkelilingkeliling kotakota jadi enggak sering mampir ke spbu
SUZUKI ertiga mobil murah tetapi tidak murahan dilihat interior nya mantap .,neutral,neutral,neutral,positive,positive,neutral,suzuki ertiga mobil murah tetapi tidak murah lihat interior nya mantap
Toyota maju dong jgn gitu gitu terus harga mahal tp apa yg di dapet dikit bgt,neutral,neutral,negative,neutral,negative,neutral,toyota maju dong jgn gitu gitu terus harga mahal tp apa yg di dapet dikit bgt
"Bengkel mobil Honda yang di Autoland kalau ada problem serius dan kelihatannya akan bebas dari biaya , mereka pasti menolak servis .",neutral,neutral,neutral,neutral,neutral,negative,bengkel mobil honda yang di autoland kalau ada problem serius dan lihat akan bebas dari biaya mereka pasti tolak servis
Fortuner Mobil irit bahan bakar dan nyaman hanya menggunakan biosolar mobil berjalan dengan sempurna dan terbukti dari Jakarta sampai Surabaya dua kali isi solar dan itupun masih bisa dipakai keliling kota Surabaya .,positive,neutral,positive,neutral,neutral,neutral,fortuner mobil irit bahan bakar dan nyaman hanya guna biosolar mobil jalan dengan sempurna dan bukti dari jakarta sampai surabaya dua kali isi solar dan itu masih bisa pakai keliling kota surabaya
"Pokok nya yamaha keren banget semakin di depan tetap yang terbaik motor nya nyaman dipakai , mesin nya halus , mau pria atau perempuan cocok deh pakai yamaha",neutral,positive,positive,neutral,neutral,neutral,pokok nya yamaha keren banget makin di depan tetap yang baik motor nya nyaman pakai mesin nya halus mau pria atau perempuan cocok deh pakai yamaha
Saya tunggu bertahun-tahun . kapan nih Daihatsu Sukabumi punya bengkel yang layak seperti Toyota dan Honda . yang ada sekarang jelek bukan main,neutral,neutral,neutral,neutral,neutral,negative,saya tunggu bertahuntahun kapan nih daihatsu sukabumi punya bengkel yang layak seperti toyota dan honda yang ada sekarang jelek bukan main
"Avanza lari nya juga lumayan kencang , di tol bisa mencapai 140 km / h.",neutral,positive,neutral,neutral,neutral,neutral,avanza lari nya juga lumayan kencang di tol bisa capai km h
"buat bensin fortuner enggak usah ditanya , saya isi penuh hari minggu , dan itu bisa dipakai sampai dua minggu ke depan . irit banget kan !",neutral,positive,neutral,neutral,neutral,neutral,buat bensin fortuner enggak usah tanya saya isi penuh hari minggu dan itu bisa pakai sampai dua minggu ke depan irit banget kan
Paling ok buat jalur semi off road dan tanjakan Terios,neutral,positive,neutral,neutral,neutral,neutral,paling ok buat jalur semi off road dan tanjak terios
"dengan desain aerodinamis , yang membuat mobil Grand New Veloz sangat mudah dikendalikan ,",neutral,neutral,neutral,positive,neutral,neutral,dengan desain aerodinamis yang buat mobil grand new veloz sangat mudah kendali
mobilio bagus purnajual juga oke,neutral,neutral,positive,neutral,positive,neutral,mobilio bagus purnajual juga oke
Hrv punya tetangga saya kok shock depan keras ya .,neutral,neutral,neutral,negative,neutral,neutral,hrv punya tetangga saya kok shock depan keras ya
"Menurut saya untuk harga mobil sekelas nya , sampai saat ini mungkin IGNIS ini yang paling value for money .",neutral,neutral,neutral,neutral,positive,neutral,turut saya untuk harga mobil kelas nya sampai saat ini mungkin ignis ini yang paling value for money
vario jauh lebih gesit daripada mio,neutral,negative,neutral,neutral,neutral,neutral,vario jauh lebih gesit daripada mio
Rush 2018 saya varian G AT suara mesin kasar .,neutral,negative,neutral,neutral,neutral,neutral,rush saya varian g at suara mesin kasar
"Avanza cuma menghabiskan sekitar 40 liter bensin untuk 700 km , bung . Irit parah ini sih .",positive,neutral,neutral,neutral,neutral,neutral,avanza cuma habis sekitar liter bensin untuk km bung irit parah ini sih
"Berarti Karimun Wagon R referensi nih bang , kebetulan lagi cari LCGC yang murah meriah harga pasaran nya",neutral,neutral,neutral,neutral,positive,neutral,arti karimun wagon r referensi nih bang betul lagi cari lcgc yang murah riah harga pasar nya
hati-hati aja mobilio purnajual nya suka jatuh,neutral,neutral,neutral,neutral,negative,neutral,hatihati aja mobilio purnajual nya suka jatuh
"banyak hal menarik di mobil toyota calya ini , harga nya murah",neutral,neutral,neutral,neutral,negative,neutral,banyak hal tarik di mobil toyota calya ini harga nya murah
Kawasaki Athlete terasa klasik tetapi kurang menarik . kayak setengah-setengah,neutral,neutral,negative,neutral,neutral,neutral,kawasaki athlete asa klasik tetapi kurang tarik kayak setengahsetengah
"Kesimpulan selama pake Fortuner VRZ kenyamanan perlu banget , interior indah jelas bikin betah di mobil",neutral,neutral,positive,positive,neutral,neutral,simpul lama pake fortuner vrz nyaman perlu banget interior indah jelas bikin betah di mobil
Ini mobil avanza lebih boros daripada mobil BMW,positive,neutral,neutral,neutral,neutral,neutral,ini mobil avanza lebih boros daripada mobil bmw
Selain elegan motor juga keren buat anak muda atau pun orang tua selain itu perawatan juga sangat mudah dan ditambah onderdil juga murah membuat saya mengagumi produk honda selain itu juga irit bahan bakar dengan mesin injeksi membuat mesin lebih awet dan tangguh buat perjalanan jauh pun mesin tetep oke,positive,positive,neutral,positive,neutral,positive,selain elegan motor juga keren buat anak muda atau pun orang tua selain itu awat juga sangat mudah dan tambah onderdil juga murah buat saya kagum produk honda selain itu juga irit bahan bakar dengan mesin injeksi buat mesin lebih awet dan tangguh buat jalan jauh pun mesin tetep oke
"Bagus kali pelayanan astra daihatsu jalan sisingamangaraja ini . Servis mobil ganti oli , dapat cuci gratis !",neutral,neutral,neutral,neutral,neutral,positive,bagus kali layan astra daihatsu jalan sisingamangaraja ini servis mobil ganti oli dapat cuci gratis
Kegoblokan Nissan di GL ini mesin enggak dikasih Knock Sensor ( cuma alat satu doang pelit banget ) .,neutral,negative,neutral,neutral,neutral,neutral,goblok nissan di gl ini mesin enggak kasih knock sensor cuma alat satu doang pelit banget
Harga murah kualitas terjamin ertiga memang mobil yang mantap jaya,neutral,neutral,positive,neutral,positive,neutral,harga murah kualitas jamin ertiga memang mobil yang mantap jaya
Asli avanza saya boros akhir-akhir ini,negative,neutral,neutral,neutral,neutral,neutral,asli avanza saya boros akhirakhir ini
